city,sub_location,display_name,name_ar,name_en,poi_name,category,latitude,longitude,dist_to_center_m
Jenin,الألمانية,مسجد خالد,مسجد خالد,,Khaled Mosque,place_of_worship,32.4581158,35.3127093,803
Jenin,الألمانية,ميني ماركت البيك,ميني ماركت البيك,,Albeak Minimarket,supermarket,32.45908,35.3125102,755
Jenin,الألمانية,مدرسة الامل,مدرسة الامل,,Alamal School,school,32.464133,35.3148422,442
Jenin,الألمانية,مسجد الزبير بن العوام,مسجد الزبير بن العوام,,Alzobair Bin Alawam Mosque,place_of_worship,32.4635799,35.3180126,149
Jenin,Jenin City,مسجد ابو بكر,مسجد ابو بكر,Abu Bakr Mosque,مسجد ابو بكر,place_of_worship,32.4570226,35.2970913,542
Jenin,Jenin City,مدرسة بنات جنين الاساسية,مدرسة بنات جنين الاساسية,,Jenin Elementary School For Girls,school,32.4581604,35.2970219,417
Jenin,Jenin City,ميني ماركت حكيم,ميني ماركت حكيم,,Hakeem Minimarket,supermarket,32.459162,35.2953507,367
Jenin,Jenin City,مدرسة بنات جنين الثانوية,مدرسة بنات جنين الثانوية,,Jenin Secondary Girls School,school,32.4598704,35.2961839,259
Jenin,Jenin City,مركز الامن الوقائي,مركز الامن الوقائي,,Police Security Center,police,32.4642531,35.2940999,419
Jenin,Jenin City,مخابز حسنين,مخابز حسنين,,Hasanien Baker,bakery,32.4658544,35.2926775,637
Jenin,Jenin City,سوبر ماركت المدينة المنورة,سوبر ماركت المدينة المنورة,,Almadina Almonawara Supermarket,supermarket,32.4641645,35.2941939,405
Jenin,مخيم جنين,مدرسة الزهراءللبنات,مدرسة الزهراءللبنات,,Alzahra` Girls School,school,32.4635487,35.2912865,444
Jenin,مخيم جنين,سوبر ماركت السنابل,سوبر ماركت السنابل,,Alsanabel Supermarket,supermarket,32.4632358,35.2911524,409
Jenin,Jenin City,استراحة اللؤلؤة,استراحة اللؤلؤة,,Allo'lo'a Lounge,biergarten,32.467394,35.2935224,721
Jenin,Jenin City,سوبر ماركت حمودة,سوبر ماركت حمودة,,Hamoda Supermarket,supermarket,32.4662624,35.2924521,684
Jenin,مخيم جنين,ميني ماركت ليلي,ميني ماركت ليلي,,Lili Minimarket,supermarket,32.4553239,35.2934531,761
Jenin,مخيم جنين,مدرسة الرياض,مدرسة الرياض,,Alreyad School,school,32.453121,35.286908,833
Jenin,عرانة,سوبر ماركت صناع الخير,سوبر ماركت صناع الخير,,Sonna Alkher Supermarket,supermarket,32.4873458,35.3000793,2320
Jenin,عرانة,سوبر ماركت دبلح,سوبر ماركت دبلح,,Dablah Supermarket,supermarket,32.4830585,35.3050612,2230
Jenin,عرانة,سوبر ماركت الحثناوي,سوبر ماركت الحثناوي,,Alhathnawi Street,supermarket,32.4846625,35.2995864,2514
Jenin,Jenin City,صالة عمرو,صالة عمرو,,Amr Hall,townhall,32.4834761,35.2996122,2409
Jenin,عرانة,مسجد الطاهرة خديجة,مسجد الطاهرة خديجة,,Altahera Khadeja Mosque,place_of_worship,32.4888286,35.2979281,2431
Jenin,Jenin City,بيتزا هت,بيتزا هت,Pizza Hut,Pizza Hut,restaurant,32.4772629,35.3004132,1731
Jenin,Jenin City,روضة الابرار,روضة الابرار,,Alabrar Kindergarten,kindergarten,32.4727309,35.3023797,1288
Jenin,Jenin City,مسجد عباد الرحمن,مسجد عباد الرحمن,,Ibad Alahman Mosque,place_of_worship,32.4726015,35.3024593,1277
Jenin,عرانة,مسجد محمد الفاتح,مسجد محمد الفاتح,,Mohammad Al Fateh Mosque,place_of_worship,32.4836982,35.3024176,2365
Jenin,Jenin City,سينما جنين,سينما جنين,,Cinema Jenin,cinema,32.4611361,35.2974903,83
Jenin,Jenin City,سينما جنين بيت الضيافة,سينما جنين بيت الضيافة,,Cinema Jenin Guesthouse,guest_house,32.4607106,35.2974689,131
Jenin,كفر راعي,مكتب بريد كفر رعى,مكتب بريد كفر رعى,,Kafr Rai Post Office,post_office,32.3752495,35.156163,110
Jenin,عين إبراهيم,القدس/الخندق,القدس/الخندق,A Quds/Al-Handaq,القدس/الخندق,bus_stop,32.530705,35.154796,977
Jenin,عين إبراهيم,القدس/الخندق,القدس/الخندق,A Quds/Al-Handaq,القدس/الخندق,bus_stop,32.530652,35.154558,962
Jenin,عين إبراهيم,المدينة/الشافعي,المدينة/الشافعي,El Medina/A-Shafa'i,المدينة/الشافعي,bus_stop,32.530937,35.153019,827
Jenin,عين إبراهيم,المدينة/الخندق,المدينة/الخندق,El Medina/Al-Handaq,المدينة/الخندق,bus_stop,32.529327,35.154223,1030
Jenin,عين إبراهيم,القدس/المدينة,القدس/المدينة,Al Quds/El Medina,القدس/المدينة,bus_stop,32.532285,35.150837,574
Jenin,عين إبراهيم,شارع 65/أم الفحم ب‘,شارع 65/أم الفحم ب‘,Road 65/Um al Fahm B,شارع 65/أم الفحم ب‘,bus_stop,32.527412,35.141502,1013
Jenin,عين إبراهيم,دوار الشهيد,دوار الشهيد,AlShahid Square,دوار الشهيد,bus_stop,32.53082,35.152875,825
Jenin,عين إبراهيم,شارع 65/مفرق أم الفحم,شارع 65/مفرق أم الفحم,Road 65/Um al Fahm Junction,شارع 65/مفرق أم الفحم,bus_stop,32.532844,35.147242,326
Jenin,عين إبراهيم,مفرق أم الفحم,مفرق أم الفحم,Um al Fahm Junction,مفرق أم الفحم,bus_stop,32.533601,35.148165,293
Jenin,Jenin City,الجامع الصغير,الجامع الصغير,,الجامع الصغير,place_of_worship,32.4593709,35.3026928,556
Jenin,Jenin City,North Gate,north gate,,North Gate,hotel,32.4703716,35.2934045,1021
Jenin,عين إبراهيم,الشواء والطابون,الشواء والطابون,,الشواء والطابون,restaurant,32.5312557,35.1518496,721
Jenin,عين إبراهيم,سن رايز,سن رايز,Sunrise,سن رايز,cafe,32.5314677,35.1508884,640
